contractSymbol,strike,lastPrice,bid,ask,impliedVolatility,expiry,option_type,market_price,spot_price,sigma,ticker
AAPL260803C00332500,332.5,7.35,7.65,8.1,0.375982802734375,2026-08-03,call,7.875,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00335000,335.0,6.55,6.4,6.8,0.37036762451171873,2026-08-03,call,6.6,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00337500,337.5,5.46,5.3,5.7,0.36829244995117194,2026-08-03,call,5.5,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00340000,340.0,4.12,4.3,4.7,0.3648745153808594,2026-08-03,call,4.5,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00342500,342.5,3.7,3.5,3.85,0.3629214099121094,2026-08-03,call,3.675,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00345000,345.0,2.99,2.76,3.2,0.3656069299316406,2026-08-03,call,2.98,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00347500,347.5,2.26,2.17,2.54,0.3619448571777344,2026-08-03,call,2.355,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00350000,350.0,1.8,1.69,2.0,0.35925933715820313,2026-08-03,call,1.845,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00352500,352.5,1.37,1.29,1.63,0.36255520263671875,2026-08-03,call,1.46,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00355000,355.0,1.17,1.01,1.15,0.3505924316406249,2026-08-03,call,1.08,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00357500,357.5,1.0,0.75,1.01,0.3632876171875,2026-08-03,call,0.88,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00360000,360.0,0.69,0.57,0.8,0.3654848608398438,2026-08-03,call,0.685,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00362500,362.5,0.51,0.43,0.65,0.37036762451171873,2026-08-03,call,0.54,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00365000,365.0,0.41,0.38,0.52,0.3737855590820312,2026-08-03,call,0.45,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00367500,367.5,0.11,0.21,0.42,0.37842418457031246,2026-08-03,call,0.315,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00370000,370.0,0.24,0.15,0.35,0.38477177734374995,2026-08-03,call,0.25,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00375000,375.0,0.09,0.09,0.25,0.39942006835937505,2026-08-03,call,0.16999999999999998,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00380000,380.0,0.15,0.03,0.19,0.41699801757812494,2026-08-03,call,0.11,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00385000,385.0,0.09,0.0,0.17,0.44385321777343745,2026-08-03,call,0.085,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00405000,405.0,0.03,0.0,0.28,0.5566450585937501,2026-08-03,call,0.14,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00260000,260.0,64.48,71.35,75.3,0.710940390625,2026-08-05,call,73.32499999999999,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00265000,265.0,59.54,66.4,70.3,0.6723665576171877,2026-08-05,call,68.35,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00270000,270.0,54.62,61.6,65.1,0.6250037500000001,2026-08-05,call,63.349999999999994,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00280000,280.0,41.7,51.55,55.2,0.5385788330078126,2026-08-05,call,53.375,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00282500,282.5,39.15,49.05,52.7,0.5151415673828125,2026-08-05,call,50.875,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00285000,285.0,41.85,46.6,50.5,0.5302781347656251,2026-08-05,call,48.55,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00300000,300.0,32.32,32.35,36.0,0.6187782263183594,2026-08-05,call,34.175,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00302500,302.5,21.05,29.95,33.65,0.5964395825195312,2026-08-05,call,31.799999999999997,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00305000,305.0,26.81,27.45,30.85,0.5422409057617189,2026-08-05,call,29.15,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00310000,310.0,25.15,23.1,26.3,0.504765694580078,2026-08-05,call,24.700000000000003,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00312500,312.5,23.49,21.45,24.1,0.4880422290039063,2026-08-05,call,22.775,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00315000,315.0,20.45,19.35,22.0,0.4749198016357422,2026-08-05,call,20.675,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00317500,317.5,17.14,17.3,19.95,0.46179737426757816,2026-08-05,call,18.625,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00320000,320.0,15.85,15.35,18.0,0.45093322509765627,2026-08-05,call,16.675,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00322500,322.5,14.5,13.5,15.85,0.4272518212890626,2026-08-05,call,14.675,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00325000,325.0,11.6,11.75,13.45,0.3892883337402344,2026-08-05,call,12.6,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00327500,327.5,11.0,10.1,12.85,0.4304866522216797,2026-08-05,call,11.475,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00330000,330.0,9.64,9.05,11.25,0.42102629760742194,2026-08-05,call,10.15,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00332500,332.5,7.9,7.1,9.2,0.38788453918457033,2026-08-05,call,8.149999999999999,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00335000,335.0,7.15,6.0,8.4,0.40454697021484376,2026-08-05,call,7.2,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00337500,337.5,5.94,4.65,7.25,0.40143420837402344,2026-08-05,call,5.95,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00340000,340.0,5.05,3.65,5.55,0.3687807263183594,2026-08-05,call,4.6,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00342500,342.5,4.1,3.35,5.45,0.4037535211181641,2026-08-05,call,4.4,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00345000,345.0,3.34,3.05,4.3,0.38587039916992183,2026-08-05,call,3.675,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00347500,347.5,2.76,1.43,4.1,0.4101621484375,2026-08-05,call,2.7649999999999997,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00350000,350.0,2.25,0.89,2.56,0.35864899169921877,2026-08-05,call,1.725,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00352500,352.5,1.4,0.6,2.04,0.35535312622070303,2026-08-05,call,1.32,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00355000,355.0,1.45,1.05,2.68,0.4232235412597656,2026-08-05,call,1.8650000000000002,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00357500,357.5,1.14,0.1,2.16,0.41687594848632803,2026-08-05,call,1.1300000000000001,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00360000,360.0,0.94,0.64,1.15,0.36426416992187505,2026-08-05,call,0.895,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00365000,365.0,0.5,0.31,0.63,0.35278967529296873,2026-08-05,call,0.47,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00370000,370.0,0.37,0.07,1.02,0.43897045410156255,2026-08-05,call,0.545,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00375000,375.0,0.19,0.01,0.3,0.37305314453125,2026-08-05,call,0.155,333.0199890136719,0.24803671732888494,AAPL
AAPL260805C00380000,380.0,0.11,0.01,0.28,0.4018614501953125,2026-08-05,call,0.14500000000000002,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00155000,155.0,154.0,176.35,180.2,1.74609501953125,2026-08-07,call,178.27499999999998,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00170000,170.0,142.28,161.4,165.3,1.60547072265625,2026-08-07,call,163.35000000000002,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00190000,190.0,133.52,141.7,145.2,1.4150419873046878,2026-08-07,call,143.45,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00195000,195.0,138.47,136.45,140.25,1.3046909765624997,2026-08-07,call,138.35,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00200000,200.0,108.96,131.7,135.05,1.2626989990234374,2026-08-07,call,133.375,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00210000,210.0,105.15,121.75,125.3,1.2177773486328123,2026-08-07,call,123.525,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00215000,215.0,106.46,116.75,120.35,1.171879140625,2026-08-07,call,118.55,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00220000,220.0,113.22,111.75,115.3,1.109379453125,2026-08-07,call,113.525,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00225000,225.0,107.95,106.55,110.35,1.0297900073242188,2026-08-07,call,108.44999999999999,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00230000,230.0,91.78,101.8,105.15,0.9877930908203125,2026-08-07,call,103.475,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00235000,235.0,81.47,96.8,99.75,0.85937640625,2026-08-07,call,98.275,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00240000,240.0,81.2,91.8,94.75,0.813478427734375,2026-08-07,call,93.275,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00245000,245.0,76.25,86.6,90.2,0.8159198095703124,2026-08-07,call,88.4,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00250000,250.0,71.32,81.85,84.75,0.7334011035156249,2026-08-07,call,83.3,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00255000,255.0,70.53,76.85,80.0,0.7309597216796875,2026-08-07,call,78.425,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00260000,260.0,61.43,71.9,75.25,0.7236355761718749,2026-08-07,call,73.575,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00265000,265.0,68.25,67.3,70.0,0.692385888671875,2026-08-07,call,68.65,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00270000,270.0,63.33,62.0,65.35,0.6499058447265625,2026-08-07,call,63.675,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00275000,275.0,57.7,57.4,60.05,0.6113320117187502,2026-08-07,call,58.724999999999994,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00280000,280.0,54.0,52.1,55.5,0.5759319750976561,2026-08-07,call,53.8,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00285000,285.0,48.15,47.2,50.35,0.524418818359375,2026-08-07,call,48.775000000000006,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00290000,290.0,43.25,42.35,45.35,0.6381872119140625,2026-08-07,call,43.85,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00295000,295.0,38.44,38.2,40.45,0.5886271606445312,2026-08-07,call,39.325,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00300000,300.0,33.9,32.8,36.05,0.5725140405273439,2026-08-07,call,34.425,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00305000,305.0,28.58,28.5,31.15,0.5178270874023438,2026-08-07,call,29.825,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00307500,307.5,26.84,26.25,28.15,0.4558159887695313,2026-08-07,call,27.2,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00310000,310.0,25.35,24.45,27.15,0.5119067364501952,2026-08-07,call,25.799999999999997,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00312500,312.5,23.03,21.95,24.55,0.4731497998046875,2026-08-07,call,23.25,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00315000,315.0,21.0,20.4,21.65,0.41864595031738283,2026-08-07,call,21.025,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00317500,317.5,18.97,18.15,19.95,0.424810439453125,2026-08-07,call,19.049999999999997,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00320000,320.0,17.13,16.4,17.45,0.38910523010253906,2026-08-07,call,16.924999999999997,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00322500,322.5,15.3,14.7,16.1,0.40405869384765625,2026-08-07,call,15.4,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00325000,325.0,13.7,13.3,13.9,0.37744763183593744,2026-08-07,call,13.600000000000001,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00327500,327.5,11.7,11.7,12.25,0.3712221081542969,2026-08-07,call,11.975,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00330000,330.0,10.4,10.25,10.5,0.3569400244140625,2026-08-07,call,10.375,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00332500,332.5,9.18,8.8,9.2,0.35681795532226557,2026-08-07,call,9.0,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00335000,335.0,7.69,7.6,7.9,0.35217932983398437,2026-08-07,call,7.75,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00337500,337.5,6.55,6.45,6.75,0.34906656799316405,2026-08-07,call,6.6,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00340000,340.0,5.61,5.5,5.7,0.3454655297851562,2026-08-07,call,5.6,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00342500,342.5,4.65,4.55,4.75,0.3413151806640625,2026-08-07,call,4.65,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00345000,345.0,3.95,3.75,4.0,0.3413151806640625,2026-08-07,call,3.875,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00347500,347.5,3.05,3.05,3.4,0.3440617352294921,2026-08-07,call,3.2249999999999996,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00350000,350.0,2.61,2.55,2.72,0.33838552246093745,2026-08-07,call,2.635,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00352500,352.5,2.13,2.01,2.21,0.3367986242675781,2026-08-07,call,2.11,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00355000,355.0,1.73,1.64,1.8,0.33667655517578127,2026-08-07,call,1.72,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00357500,357.5,1.41,1.27,1.49,0.3391179370117187,2026-08-07,call,1.38,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00360000,360.0,1.08,1.04,1.16,0.335944140625,2026-08-07,call,1.1,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00365000,365.0,0.72,0.63,0.75,0.33789724609375,2026-08-07,call,0.69,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00370000,370.0,0.47,0.37,0.46,0.33789724609375,2026-08-07,call,0.41500000000000004,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00375000,375.0,0.28,0.18,0.29,0.34107104248046877,2026-08-07,call,0.235,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00380000,380.0,0.16,0.14,0.24,0.36035795898437495,2026-08-07,call,0.19,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00385000,385.0,0.06,0.05,0.17,0.36914693359375,2026-08-07,call,0.11000000000000001,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00390000,390.0,0.06,0.05,0.14,0.3857483300781249,2026-08-07,call,0.095,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00395000,395.0,0.06,0.01,0.14,0.41211525390625,2026-08-07,call,0.07500000000000001,333.0199890136719,0.24803671732888494,AAPL
AAPL260807C00400000,400.0,0.05,0.01,0.05,0.38477177734374995,2026-08-07,call,0.030000000000000002,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00260000,260.0,0.11,0.01,0.15,0.6543003320312502,2026-08-03,put,0.08,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00270000,270.0,0.1,0.01,0.19,0.5800823242187501,2026-08-03,put,0.1,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00275000,275.0,0.18,0.05,0.23,0.56055126953125,2026-08-03,put,0.14,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00280000,280.0,0.18,0.1,0.26,0.5336960693359375,2026-08-03,put,0.18,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00285000,285.0,0.48,0.14,0.32,0.50586431640625,2026-08-03,put,0.23,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00287500,287.5,0.22,0.18,0.34,0.514653291015625,2026-08-03,put,0.26,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00290000,290.0,0.33,0.22,0.4,0.5039112109375,2026-08-03,put,0.31,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00292500,292.5,0.99,0.23,0.45,0.4892629199218751,2026-08-03,put,0.34,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00295000,295.0,0.39,0.33,0.48,0.4687553125,2026-08-03,put,0.405,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00297500,297.5,0.51,0.35,0.58,0.46045461425781253,2026-08-03,put,0.46499999999999997,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00300000,300.0,0.55,0.49,0.58,0.4331111376953125,2026-08-03,put,0.5349999999999999,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00302500,302.5,0.81,0.56,0.78,0.4348201049804688,2026-08-03,put,0.67,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00305000,305.0,0.85,0.75,0.93,0.42456630126953127,2026-08-03,put,0.8400000000000001,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00307500,307.5,1.1,0.85,1.14,0.4177304321289062,2026-08-03,put,0.9949999999999999,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00310000,310.0,1.25,1.15,1.34,0.40601179931640624,2026-08-03,put,1.245,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00312500,312.5,1.63,1.35,1.66,0.4010069665527344,2026-08-03,put,1.505,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00315000,315.0,1.86,1.74,1.99,0.3920959228515625,2026-08-03,put,1.865,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00317500,317.5,2.33,2.11,2.44,0.38721315917968746,2026-08-03,put,2.275,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00320000,320.0,2.76,2.7,3.05,0.38709109008789055,2026-08-03,put,2.875,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00322500,322.5,3.55,3.2,3.6,0.37756970092773434,2026-08-03,put,3.4000000000000004,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00325000,325.0,4.3,3.95,4.35,0.37390762817382805,2026-08-03,put,4.15,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00327500,327.5,4.9,4.8,5.2,0.36963520996093746,2026-08-03,put,5.0,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00330000,330.0,5.95,5.8,6.2,0.3667055517578125,2026-08-03,put,6.0,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00335000,335.0,8.15,8.1,8.4,0.35217932983398437,2026-08-03,put,8.25,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00337500,337.5,13.4,9.15,10.15,0.36688865539550786,2026-08-03,put,9.65,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00340000,340.0,11.3,10.8,12.35,0.3986876538085938,2026-08-03,put,11.575,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00345000,345.0,15.0,13.35,15.85,0.40320421020507813,2026-08-03,put,14.6,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00347500,347.5,16.55,15.1,17.8,0.4089414575195312,2026-08-03,put,16.45,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00350000,350.0,18.85,16.8,20.25,0.4408014904785156,2026-08-03,put,18.525,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00352500,352.5,23.03,18.95,22.35,0.4489801196289062,2026-08-03,put,20.65,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00355000,355.0,25.25,21.1,24.5,0.45703667968750006,2026-08-03,put,22.8,333.0199890136719,0.24803671732888494,AAPL
AAPL260803P00367500,367.5,46.9,32.9,36.45,0.5551802294921876,2026-08-03,put,34.675,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00245000,245.0,0.16,0.0,1.04,0.9340826904296875,2026-08-05,put,0.52,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00250000,250.0,0.2,0.0,0.97,0.8706067626953125,2026-08-05,put,0.485,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00255000,255.0,0.12,0.01,1.03,0.8291032714843749,2026-08-05,put,0.52,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00260000,260.0,0.15,0.01,1.02,0.7763694238281251,2026-08-05,put,0.515,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00265000,265.0,0.17,0.01,1.05,0.729494892578125,2026-08-05,put,0.53,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00275000,275.0,0.3,0.01,1.0,0.6235389208984375,2026-08-05,put,0.505,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00280000,280.0,0.46,0.1,0.33,0.532231240234375,2026-08-05,put,0.21500000000000002,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00285000,285.0,0.26,0.09,0.63,0.549076774902344,2026-08-05,put,0.36,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00290000,290.0,0.4,0.27,0.52,0.4797415307617187,2026-08-05,put,0.395,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00295000,295.0,0.5,0.38,0.63,0.4489801196289062,2026-08-05,put,0.505,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00297500,297.5,0.63,0.36,0.77,0.44360907958984375,2026-08-05,put,0.565,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00300000,300.0,0.75,0.7,0.94,0.4387263159179688,2026-08-05,put,0.82,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00302500,302.5,0.95,0.73,1.02,0.42078215942382813,2026-08-05,put,0.875,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00305000,305.0,1.35,0.85,1.24,0.4154111193847656,2026-08-05,put,1.045,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00307500,307.5,3.6,1.07,1.64,0.42163664306640625,2026-08-05,put,1.355,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00310000,310.0,1.55,1.5,1.75,0.4000304138183594,2026-08-05,put,1.625,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00312500,312.5,2.73,0.7,3.05,0.45606012695312503,2026-08-05,put,1.875,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00315000,315.0,2.36,2.01,2.66,0.39771110107421875,2026-08-05,put,2.335,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00320000,320.0,3.29,2.26,3.55,0.37708142456054683,2026-08-05,put,2.905,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00322500,322.5,4.0,2.6,4.75,0.39905386108398444,2026-08-05,put,3.675,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00325000,325.0,4.58,3.45,5.75,0.40430283203125,2026-08-05,put,4.6,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00327500,327.5,7.31,4.2,6.85,0.4089414575195312,2026-08-05,put,5.525,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00330000,330.0,6.87,5.65,7.8,0.4022276574707031,2026-08-05,put,6.725,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00332500,332.5,7.51,6.5,9.0,0.40180041564941404,2026-08-05,put,7.75,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00335000,335.0,8.5,7.85,9.5,0.3663393444824219,2026-08-05,put,8.675,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00337500,337.5,10.6,8.7,11.55,0.393560751953125,2026-08-05,put,10.125,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00340000,340.0,12.0,10.45,12.95,0.3877624700927734,2026-08-05,put,11.7,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00342500,342.5,18.8,11.9,14.6,0.38843385009765624,2026-08-05,put,13.25,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00350000,350.0,18.9,17.65,20.7,0.4229794030761719,2026-08-05,put,19.174999999999997,333.0199890136719,0.24803671732888494,AAPL
AAPL260805P00355000,355.0,27.5,21.7,24.4,0.4071104211425781,2026-08-05,put,23.049999999999997,333.0199890136719,0.24803671732888494,AAPL
AAPL260807P00110000,110.0,0.06,0.0,0.23,2.253910615234375,2026-08-07,put,0.115,333.0199890136719,0.24803671732888494,AAPL
AAPL260807P00145000,145.0,0.02,0.0,0.45,1.857422587890625,2026-08-07,put,0.225,333.0199890136719,0.24803671732888494,AAPL
AAPL260807P00175000,175.0,0.03,0.0,0.45,1.4658229833984375,2026-08-07,put,0.225,333.0199890136719,0.24803671732888494,AAPL
AAPL260807P00185000,185.0,0.03,0.0,0.45,1.3496126269531248,2026-08-07,put,0.225,333.0199890136719,0.24803671732888494,AAPL
AAPL260807P00195000,195.0,0.05,0.0,0.43,1.2324257128906249,2026-08-07,put,0.215,333.0199890136719,0.24803671732888494,AAPL
AAPL260807P00200000,200.0,0.05,0.0,0.07,0.9609378906249999,2026-08-07,put,0.035,333.0199890136719,0.24803671732888494,AAPL
AAPL260807P00205000,205.0,0.02,0.0,0.4,1.1171919140625,2026-08-07,put,0.2,333.0199890136719,0.24803671732888494,AAPL
