Week,TV,Radio,InStore,NewspaperInserts,Website_Campaign,Base_Price,Discount,NewVolSales
69,240.4,61.8,110.7,31.9,180.3,100.01,0,745
70,195.5,64.6,139.3,57.2,111.2,101.7,0,771
71,148.4,110.3,64.6,4.1,108.2,103.35,5,765
72,149.6,97.5,71.2,28.2,107.5,98.13,0,739
73,153.0,42.9,59.9,14.7,89.5,103.78,10,684
74,204.0,54.3,77.2,27.6,128.5,101.89,5,718
75,183.6,30.7,104.9,43.7,122.6,93.83,5,766
76,198.9,48.2,103.7,37.3,139.7,107.21,10,769
77,147.3,66.3,94.1,36.2,148.5,97.5,10,749
78,163.6,84.1,48.3,37.6,126.0,91.72,0,752
79,175.0,45.4,22.2,43.1,89.0,94.77,0,735
80,130.4,46.9,77.7,24.9,116.2,94.89,5,743
81,153.9,17.1,61.0,50.6,130.9,100.26,0,719
82,102.2,56.7,80.8,49.9,61.7,98.63,0,708
83,107.6,38.8,83.6,45.8,77.8,98.32,0,694
84,100.6,49.4,66.4,48.3,106.0,103.1,10,714
85,62.4,42.5,79.1,44.4,65.4,101.7,10,681
86,124.6,58.1,63.3,70.5,122.8,101.58,5,702
87,81.8,24.8,68.6,38.7,69.2,102.05,0,635
88,97.4,30.7,35.8,35.4,99.0,103.08,0,654
89,113.1,102.6,47.5,28.7,66.4,89.46,5,710
90,109.6,34.3,55.8,24.5,91.5,98.18,0,661
91,117.1,38.1,70.7,21.3,93.3,89.1,5,720
92,86.1,96.7,40.2,26.7,46.8,100.18,5,657
93,73.5,118.1,63.2,38.9,51.9,99.98,0,648
94,88.6,36.6,44.2,45.0,98.8,105.23,0,651
95,26.4,52.6,49.0,40.8,33.1,105.94,0,594
96,39.0,66.8,74.2,28.5,23.9,101.01,15,651
97,47.7,94.6,5.5,53.5,67.1,97.5,5,616
98,65.2,40.3,25.1,51.1,98.6,102.43,0,629
99,126.2,55.1,23.1,37.6,53.6,97.36,15,641
100,79.7,75.5,4.6,30.2,53.4,99.99,0,601
101,107.0,68.7,49.1,48.2,80.1,104.93,0,633
102,180.7,52.5,88.1,42.8,168.2,97.21,15,766
103,121.4,57.3,65.7,18.3,100.5,104.03,0,681
104,172.3,32.5,81.3,39.0,131.9,103.39,0,699
105,112.7,55.2,107.2,43.9,70.2,95.23,5,738
106,149.0,54.7,116.8,26.5,100.4,104.87,0,665
107,126.4,64.6,85.5,42.8,135.3,103.49,5,723
108,157.7,48.9,124.5,18.2,124.3,100.51,0,746
109,211.5,69.4,96.2,60.0,136.7,96.19,0,760
110,115.0,80.3,76.1,58.7,91.8,95.7,0,752
111,207.2,63.1,85.0,36.2,148.3,97.31,0,758
112,204.4,67.0,65.4,45.5,148.5,102.71,0,745
113,175.6,61.1,82.5,3.9,152.4,95.22,0,713
114,145.3,60.0,97.6,22.7,146.1,102.19,15,735
115,209.0,45.6,128.1,35.6,117.7,93.79,0,768
116,187.1,66.3,152.1,23.9,109.8,98.98,0,740
117,218.9,58.1,75.2,50.7,173.7,100.55,0,779
118,210.9,101.9,119.8,70.0,172.7,112.23,0,729
119,273.6,91.5,83.8,22.4,164.7,93.11,0,767
120,198.7,67.7,121.0,27.4,96.7,107.36,5,728
121,165.2,44.7,104.8,43.5,143.3,100.75,0,715
122,210.3,37.8,60.8,64.2,175.3,102.06,15,765
123,208.2,83.8,127.9,21.7,189.4,100.59,15,802
124,249.3,65.3,87.3,43.7,195.4,102.22,0,767
